PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=86 ttl=64 time=927 ms
64 bytes from 10.0.0.4: icmp_seq=87 ttl=64 time=902 ms
64 bytes from 10.0.0.4: icmp_seq=88 ttl=64 time=951 ms
64 bytes from 10.0.0.4: icmp_seq=89 ttl=64 time=891 ms
64 bytes from 10.0.0.4: icmp_seq=90 ttl=64 time=909 ms
64 bytes from 10.0.0.4: icmp_seq=91 ttl=64 time=911 ms
64 bytes from 10.0.0.4: icmp_seq=92 ttl=64 time=907 ms
64 bytes from 10.0.0.4: icmp_seq=93 ttl=64 time=957 ms
64 bytes from 10.0.0.4: icmp_seq=94 ttl=64 time=876 ms
64 bytes from 10.0.0.4: icmp_seq=95 ttl=64 time=734 ms
64 bytes from 10.0.0.4: icmp_seq=96 ttl=64 time=892 ms
64 bytes from 10.0.0.4: icmp_seq=97 ttl=64 time=887 ms
64 bytes from 10.0.0.4: icmp_seq=98 ttl=64 time=927 ms
64 bytes from 10.0.0.4: icmp_seq=99 ttl=64 time=925 ms
64 bytes from 10.0.0.4: icmp_seq=100 ttl=64 time=945 ms
64 bytes from 10.0.0.4: icmp_seq=101 ttl=64 time=940 ms
64 bytes from 10.0.0.4: icmp_seq=102 ttl=64 time=963 ms
64 bytes from 10.0.0.4: icmp_seq=103 ttl=64 time=917 ms
64 bytes from 10.0.0.4: icmp_seq=104 ttl=64 time=956 ms
64 bytes from 10.0.0.4: icmp_seq=105 ttl=64 time=960 ms
64 bytes from 10.0.0.4: icmp_seq=106 ttl=64 time=960 ms
64 bytes from 10.0.0.4: icmp_seq=107 ttl=64 time=731 ms
64 bytes from 10.0.0.4: icmp_seq=108 ttl=64 time=764 ms
64 bytes from 10.0.0.4: icmp_seq=109 ttl=64 time=927 ms
64 bytes from 10.0.0.4: icmp_seq=110 ttl=64 time=982 ms
64 bytes from 10.0.0.4: icmp_seq=111 ttl=64 time=936 ms
64 bytes from 10.0.0.4: icmp_seq=112 ttl=64 time=995 ms
64 bytes from 10.0.0.4: icmp_seq=113 ttl=64 time=1012 ms
64 bytes from 10.0.0.4: icmp_seq=114 ttl=64 time=1003 ms
64 bytes from 10.0.0.4: icmp_seq=115 ttl=64 time=1003 ms
64 bytes from 10.0.0.4: icmp_seq=116 ttl=64 time=1008 ms
64 bytes from 10.0.0.4: icmp_seq=117 ttl=64 time=1011 ms
64 bytes from 10.0.0.4: icmp_seq=118 ttl=64 time=1016 ms
64 bytes from 10.0.0.4: icmp_seq=119 ttl=64 time=858 ms
64 bytes from 10.0.0.4: icmp_seq=120 ttl=64 time=746 ms
64 bytes from 10.0.0.4: icmp_seq=121 ttl=64 time=933 ms
64 bytes from 10.0.0.4: icmp_seq=122 ttl=64 time=996 ms
64 bytes from 10.0.0.4: icmp_seq=123 ttl=64 time=1016 ms
64 bytes from 10.0.0.4: icmp_seq=124 ttl=64 time=1068 ms
64 bytes from 10.0.0.4: icmp_seq=125 ttl=64 time=1010 ms
64 bytes from 10.0.0.4: icmp_seq=126 ttl=64 time=1082 ms
64 bytes from 10.0.0.4: icmp_seq=127 ttl=64 time=1057 ms
64 bytes from 10.0.0.4: icmp_seq=128 ttl=64 time=1103 ms
64 bytes from 10.0.0.4: icmp_seq=129 ttl=64 time=1094 ms
64 bytes from 10.0.0.4: icmp_seq=130 ttl=64 time=1052 ms
64 bytes from 10.0.0.4: icmp_seq=131 ttl=64 time=763 ms
64 bytes from 10.0.0.4: icmp_seq=132 ttl=64 time=752 ms
64 bytes from 10.0.0.4: icmp_seq=133 ttl=64 time=1015 ms
64 bytes from 10.0.0.4: icmp_seq=134 ttl=64 time=1081 ms
64 bytes from 10.0.0.4: icmp_seq=135 ttl=64 time=1133 ms
64 bytes from 10.0.0.4: icmp_seq=136 ttl=64 time=1110 ms
64 bytes from 10.0.0.4: icmp_seq=137 ttl=64 time=1135 ms
64 bytes from 10.0.0.4: icmp_seq=138 ttl=64 time=1184 ms
64 bytes from 10.0.0.4: icmp_seq=139 ttl=64 time=1161 ms
64 bytes from 10.0.0.4: icmp_seq=140 ttl=64 time=1206 ms
64 bytes from 10.0.0.4: icmp_seq=141 ttl=64 time=1228 ms
64 bytes from 10.0.0.4: icmp_seq=142 ttl=64 time=1075 ms
64 bytes from 10.0.0.4: icmp_seq=143 ttl=64 time=719 ms
64 bytes from 10.0.0.4: icmp_seq=144 ttl=64 time=846 ms
64 bytes from 10.0.0.4: icmp_seq=145 ttl=64 time=1104 ms
64 bytes from 10.0.0.4: icmp_seq=146 ttl=64 time=1216 ms
64 bytes from 10.0.0.4: icmp_seq=147 ttl=64 time=1143 ms
64 bytes from 10.0.0.4: icmp_seq=148 ttl=64 time=1195 ms
64 bytes from 10.0.0.4: icmp_seq=149 ttl=64 time=1210 ms
64 bytes from 10.0.0.4: icmp_seq=150 ttl=64 time=1212 ms
64 bytes from 10.0.0.4: icmp_seq=151 ttl=64 time=1229 ms
64 bytes from 10.0.0.4: icmp_seq=152 ttl=64 time=1243 ms
64 bytes from 10.0.0.4: icmp_seq=153 ttl=64 time=1221 ms
64 bytes from 10.0.0.4: icmp_seq=154 ttl=64 time=1164 ms
64 bytes from 10.0.0.4: icmp_seq=155 ttl=64 time=740 ms
64 bytes from 10.0.0.4: icmp_seq=156 ttl=64 time=851 ms
64 bytes from 10.0.0.4: icmp_seq=157 ttl=64 time=1108 ms
64 bytes from 10.0.0.4: icmp_seq=158 ttl=64 time=1229 ms
64 bytes from 10.0.0.4: icmp_seq=159 ttl=64 time=1298 ms
64 bytes from 10.0.0.4: icmp_seq=160 ttl=64 time=1239 ms
64 bytes from 10.0.0.4: icmp_seq=161 ttl=64 time=1245 ms
64 bytes from 10.0.0.4: icmp_seq=162 ttl=64 time=1261 ms
64 bytes from 10.0.0.4: icmp_seq=163 ttl=64 time=1281 ms
64 bytes from 10.0.0.4: icmp_seq=164 ttl=64 time=1342 ms
64 bytes from 10.0.0.4: icmp_seq=165 ttl=64 time=1276 ms
64 bytes from 10.0.0.4: icmp_seq=166 ttl=64 time=1286 ms
64 bytes from 10.0.0.4: icmp_seq=167 ttl=64 time=1018 ms
64 bytes from 10.0.0.4: icmp_seq=168 ttl=64 time=719 ms
64 bytes from 10.0.0.4: icmp_seq=169 ttl=64 time=974 ms
64 bytes from 10.0.0.4: icmp_seq=170 ttl=64 time=1198 ms
64 bytes from 10.0.0.4: icmp_seq=171 ttl=64 time=1266 ms
64 bytes from 10.0.0.4: icmp_seq=172 ttl=64 time=1239 ms
64 bytes from 10.0.0.4: icmp_seq=173 ttl=64 time=1278 ms
64 bytes from 10.0.0.4: icmp_seq=174 ttl=64 time=1314 ms
64 bytes from 10.0.0.4: icmp_seq=175 ttl=64 time=1335 ms
64 bytes from 10.0.0.4: icmp_seq=176 ttl=64 time=1375 ms
64 bytes from 10.0.0.4: icmp_seq=177 ttl=64 time=1345 ms
64 bytes from 10.0.0.4: icmp_seq=178 ttl=64 time=1329 ms
64 bytes from 10.0.0.4: icmp_seq=179 ttl=64 time=1034 ms
64 bytes from 10.0.0.4: icmp_seq=180 ttl=64 time=702 ms
64 bytes from 10.0.0.4: icmp_seq=181 ttl=64 time=1001 ms
64 bytes from 10.0.0.4: icmp_seq=182 ttl=64 time=1241 ms
64 bytes from 10.0.0.4: icmp_seq=183 ttl=64 time=1216 ms
64 bytes from 10.0.0.4: icmp_seq=184 ttl=64 time=1291 ms
64 bytes from 10.0.0.4: icmp_seq=185 ttl=64 time=1327 ms
64 bytes from 10.0.0.4: icmp_seq=186 ttl=64 time=1340 ms
64 bytes from 10.0.0.4: icmp_seq=187 ttl=64 time=1385 ms
64 bytes from 10.0.0.4: icmp_seq=188 ttl=64 time=1324 ms
64 bytes from 10.0.0.4: icmp_seq=189 ttl=64 time=1308 ms
64 bytes from 10.0.0.4: icmp_seq=190 ttl=64 time=1335 ms
64 bytes from 10.0.0.4: icmp_seq=191 ttl=64 time=1355 ms
64 bytes from 10.0.0.4: icmp_seq=192 ttl=64 time=924 ms
64 bytes from 10.0.0.4: icmp_seq=193 ttl=64 time=702 ms
64 bytes from 10.0.0.4: icmp_seq=194 ttl=64 time=1080 ms
64 bytes from 10.0.0.4: icmp_seq=195 ttl=64 time=1251 ms
64 bytes from 10.0.0.4: icmp_seq=196 ttl=64 time=1303 ms
64 bytes from 10.0.0.4: icmp_seq=197 ttl=64 time=1327 ms
64 bytes from 10.0.0.4: icmp_seq=198 ttl=64 time=1397 ms
64 bytes from 10.0.0.4: icmp_seq=199 ttl=64 time=1306 ms
64 bytes from 10.0.0.4: icmp_seq=200 ttl=64 time=1346 ms
64 bytes from 10.0.0.4: icmp_seq=201 ttl=64 time=1353 ms
64 bytes from 10.0.0.4: icmp_seq=202 ttl=64 time=1363 ms
64 bytes from 10.0.0.4: icmp_seq=203 ttl=64 time=1386 ms
64 bytes from 10.0.0.4: icmp_seq=204 ttl=64 time=976 ms
64 bytes from 10.0.0.4: icmp_seq=205 ttl=64 time=702 ms
64 bytes from 10.0.0.4: icmp_seq=206 ttl=64 time=1076 ms
64 bytes from 10.0.0.4: icmp_seq=207 ttl=64 time=1232 ms
64 bytes from 10.0.0.4: icmp_seq=208 ttl=64 time=1358 ms
64 bytes from 10.0.0.4: icmp_seq=209 ttl=64 time=1363 ms
64 bytes from 10.0.0.4: icmp_seq=210 ttl=64 time=1402 ms
64 bytes from 10.0.0.4: icmp_seq=211 ttl=64 time=1313 ms
64 bytes from 10.0.0.4: icmp_seq=212 ttl=64 time=1346 ms
64 bytes from 10.0.0.4: icmp_seq=213 ttl=64 time=1355 ms
64 bytes from 10.0.0.4: icmp_seq=214 ttl=64 time=1393 ms
64 bytes from 10.0.0.4: icmp_seq=215 ttl=64 time=1410 ms
64 bytes from 10.0.0.4: icmp_seq=216 ttl=64 time=1351 ms
64 bytes from 10.0.0.4: icmp_seq=217 ttl=64 time=840 ms
64 bytes from 10.0.0.4: icmp_seq=218 ttl=64 time=702 ms
64 bytes from 10.0.0.4: icmp_seq=219 ttl=64 time=1125 ms
64 bytes from 10.0.0.4: icmp_seq=220 ttl=64 time=1237 ms
64 bytes from 10.0.0.4: icmp_seq=221 ttl=64 time=1306 ms
64 bytes from 10.0.0.4: icmp_seq=222 ttl=64 time=1400 ms
64 bytes from 10.0.0.4: icmp_seq=223 ttl=64 time=1320 ms
64 bytes from 10.0.0.4: icmp_seq=224 ttl=64 time=1342 ms
64 bytes from 10.0.0.4: icmp_seq=225 ttl=64 time=1354 ms
64 bytes from 10.0.0.4: icmp_seq=226 ttl=64 time=1385 ms
64 bytes from 10.0.0.4: icmp_seq=227 ttl=64 time=1385 ms
64 bytes from 10.0.0.4: icmp_seq=228 ttl=64 time=1382 ms
64 bytes from 10.0.0.4: icmp_seq=229 ttl=64 time=1154 ms
64 bytes from 10.0.0.4: icmp_seq=230 ttl=64 time=719 ms
64 bytes from 10.0.0.4: icmp_seq=231 ttl=64 time=905 ms
64 bytes from 10.0.0.4: icmp_seq=232 ttl=64 time=1148 ms
64 bytes from 10.0.0.4: icmp_seq=233 ttl=64 time=1227 ms
64 bytes from 10.0.0.4: icmp_seq=234 ttl=64 time=1297 ms
64 bytes from 10.0.0.4: icmp_seq=235 ttl=64 time=1347 ms
64 bytes from 10.0.0.4: icmp_seq=236 ttl=64 time=1362 ms
64 bytes from 10.0.0.4: icmp_seq=237 ttl=64 time=1415 ms
64 bytes from 10.0.0.4: icmp_seq=238 ttl=64 time=1324 ms
64 bytes from 10.0.0.4: icmp_seq=239 ttl=64 time=1443 ms
64 bytes from 10.0.0.4: icmp_seq=240 ttl=64 time=1420 ms
64 bytes from 10.0.0.4: icmp_seq=241 ttl=64 time=1288 ms
64 bytes from 10.0.0.4: icmp_seq=242 ttl=64 time=790 ms
64 bytes from 10.0.0.4: icmp_seq=243 ttl=64 time=773 ms
64 bytes from 10.0.0.4: icmp_seq=244 ttl=64 time=1123 ms
64 bytes from 10.0.0.4: icmp_seq=245 ttl=64 time=1251 ms
64 bytes from 10.0.0.4: icmp_seq=246 ttl=64 time=1362 ms
64 bytes from 10.0.0.4: icmp_seq=247 ttl=64 time=1355 ms
64 bytes from 10.0.0.4: icmp_seq=248 ttl=64 time=1351 ms
64 bytes from 10.0.0.4: icmp_seq=249 ttl=64 time=1373 ms
64 bytes from 10.0.0.4: icmp_seq=250 ttl=64 time=1397 ms
64 bytes from 10.0.0.4: icmp_seq=251 ttl=64 time=1389 ms
64 bytes from 10.0.0.4: icmp_seq=252 ttl=64 time=1398 ms
64 bytes from 10.0.0.4: icmp_seq=253 ttl=64 time=1308 ms
64 bytes from 10.0.0.4: icmp_seq=254 ttl=64 time=1121 ms
64 bytes from 10.0.0.4: icmp_seq=255 ttl=64 time=704 ms
64 bytes from 10.0.0.4: icmp_seq=256 ttl=64 time=937 ms
64 bytes from 10.0.0.4: icmp_seq=257 ttl=64 time=1193 ms
64 bytes from 10.0.0.4: icmp_seq=258 ttl=64 time=1363 ms
64 bytes from 10.0.0.4: icmp_seq=259 ttl=64 time=1282 ms
